ward_id,population,facility_count,dist_to_nearest_phc_km,historical_case_rate,cases_lag_1w,seasonal_index,rainfall_anomaly,pop_density,pop_density_norm
180,29813.774193548383,0,9.56074677217071,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
172,29813.774193548383,0,7.426134070037842,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
177,29813.774193548383,0,7.744107218924531,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
178,29813.774193548383,0,8.91431504052982,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
160,29813.774193548383,0,5.729402294861722,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
161,29813.774193548383,0,6.479583688214213,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
165,29813.774193548383,0,7.920559574129135,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
159,29813.774193548383,0,7.132554082237711,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
156,29813.774193548383,0,4.914892864788452,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
158,29813.774193548383,0,4.256108389857639,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
167,29813.774193548383,0,8.558041705164722,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
166,29813.774193548383,0,8.422811600427739,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
164,29813.774193548383,0,7.560716554081975,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
162,29813.774193548383,0,6.8644053520453365,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
163,29813.774193548383,0,7.09674038793033,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
150,31270.0,0,4.439994467388031,13,24,1.7678934296680966,64.77499999999998,31270.0,0.2177182404300057
153,143626.0,0,4.63986686066322,13,24,1.7678934296680966,64.77499999999998,143626.0,1.0
149,32138.0,0,1.4913532202223367,13,24,1.7678934296680966,64.77499999999998,32138.0,0.22376171445281495
152,25707.0,0,1.952958774110682,13,24,1.7678934296680966,64.77499999999998,25707.0,0.1789856989681534
155,75748.0,0,2.6178675072825923,13,24,1.7678934296680966,64.77499999999998,75748.0,0.5273975464052469
154,53855.0,0,3.1373944960651428,13,24,1.7678934296680966,64.77499999999998,53855.0,0.37496692799353876
151,34509.0,0,3.449187647601089,13,24,1.7678934296680966,64.77499999999998,34509.0,0.2402698675727236
146,17539.0,0,2.894866712323213,13,24,1.7678934296680966,64.77499999999998,17539.0,0.12211577291019732
143,20124.0,0,3.348103906271472,13,24,1.7678934296680966,64.77499999999998,20124.0,0.14011390695278014
145,24508.0,0,1.4511052914147375,13,24,1.7678934296680966,64.77499999999998,24508.0,0.17063762828457243
144,21231.0,0,1.996246578459935,13,24,1.7678934296680966,64.77499999999998,21231.0,0.14782142509016474
148,17914.0,0,0.8906747999041126,13,24,1.7678934296680966,64.77499999999998,17914.0,0.12472672078871513
127,24606.0,0,1.7218871757373484,13,24,1.7678934296680966,64.77499999999998,24606.0,0.1713199559968251
136,33270.0,0,5.003747857890623,13,24,1.7678934296680966,64.77499999999998,33270.0,0.23164329578210074
128,58003.0,1,0.7456021407683071,13,24,1.7678934296680966,64.77499999999998,58003.0,0.40384749279378385
129,59322.0,0,1.4051615615088846,13,24,1.7678934296680966,64.77499999999998,59322.0,0.4130310667984905
138,37720.0,0,2.826356672552122,13,24,1.7678934296680966,64.77499999999998,37720.0,0.26262654394051216
137,22019.0,0,2.0199237681968194,13,24,1.7678934296680966,64.77499999999998,22019.0,0.15330789689889018
142,26525.0,0,4.790393098354617,13,24,1.7678934296680966,64.77499999999998,26525.0,0.18468104660716025
139,35299.0,0,3.879201092893507,13,24,1.7678934296680966,64.77499999999998,35299.0,0.24577026443680114
140,33089.0,0,4.289463294588644,13,24,1.7678934296680966,64.77499999999998,33089.0,0.23038307827273613
141,54598.0,0,5.091445638600035,13,24,1.7678934296680966,64.77499999999998,54598.0,0.3801400860568421
134,23054.0,0,3.789954499191632,13,24,1.7678934296680966,64.77499999999998,23054.0,0.16051411304359936
135,49869.0,0,3.927852690627128,13,24,1.7678934296680966,64.77499999999998,49869.0,0.34721429267681336
133,25793.0,0,3.234804360224559,13,24,1.7678934296680966,64.77499999999998,25793.0,0.1795844763482935
131,58468.0,0,1.9488250491056187,13,24,1.7678934296680966,64.77499999999998,58468.0,0.40708506816314594
130,55784.0,0,2.3799717523065755,13,24,1.7678934296680966,64.77499999999998,55784.0,0.3883976438806344
