WARD_ID,WARD_AREA_KM2,POPULATION,NEAREST_FACILITY_KM,FACILITY_COUNT_2KM,DATA_AVAILABILITY,POPULATION_DENSITY,ACCESS_GAP,FACILITY_DEFICIT,RISK_SCORE,TOP_RISK_DRIVER,SHAP_POPULATION_DENSITY,SHAP_NEAREST_FACILITY_KM,SHAP_FACILITY_COUNT_2KM,SHAP_ACCESS_GAP,SHAP_FACILITY_DEFICIT
119,1.3810052538779152,23472.0,0.3007577875170076,0.0,VALIDATED,0.0850465321535957,0.1877113371770852,1.0,0.4009543,FACILITY_DEFICIT,-0.01567155,0.00068040774,0.09007985,0.018125135,0.095079236
7,7.735900170317188,22161.0,0.0629851489789367,0.5882352941176471,VALIDATED,0.0046863144286635,0.0041366957297654,0.0,0.0035181402,FACILITY_COUNT_2KM,-0.035979856,-0.0009556226,-0.07033735,-0.033577196,-0.06829316
26,4.80908764811078,20239.0,0.0615441202635844,0.2941176470588235,VALIDATED,0.0123278767319794,0.0071225669954631,0.0,0.0076421583,FACILITY_COUNT_2KM,-0.034843154,-0.0010198628,-0.07014653,-0.030716438,-0.06829316
174,8.340795421359944,121506.3286872262,0.3412786980907682,0.0,VALIDATED_ESTIMATE,0.0712361666287086,0.1823848336134592,1.0,0.39295176,FACILITY_DEFICIT,-0.020509072,0.0005408695,0.08814879,0.017030727,0.095079236
132,1.403502758204671,41733.0,0.1360208918392229,0.0,VALIDATED,0.1574851300412776,0.1488425840158972,1.0,0.3998426,FACILITY_DEFICIT,-0.0019444592,0.00079088303,0.08826637,0.008076658,0.091991946
37,4.326690433856218,26491.0,0.0407520400119168,1.0,VALIDATED,0.0232130962521783,0.0068746829671028,0.0,0.009104141,FACILITY_COUNT_2KM,-0.030766467,-0.00065208296,-0.071847446,-0.031715345,-0.068575844
70,1.485411104587789,26313.0,0.0619524203666339,0.5294117647058824,VALIDATED,0.0891293254108417,0.0389381834302531,0.0,0.044699606,FACILITY_COUNT_2KM,-0.011355268,-0.0010671641,-0.06906676,-0.02036377,-0.06610876
101,1.7416673020277404,12703.0,0.2027812165657455,0.0,VALIDATED,0.0298714382997735,0.0525158571812573,1.0,0.33151966,FACILITY_COUNT_2KM,-0.030541344,0.00037302185,0.09348729,-0.037073426,0.09261302
60,5.756137469702142,29821.0,0.127888130362713,0.1764705882352941,VALIDATED,0.0178565748187113,0.02213500248452,0.0,0.014034516,FACILITY_COUNT_2KM,-0.03215164,0.00027837398,-0.070106186,-0.028794779,-0.06785257
16,9.985307376555737,22947.0,0.0547300902536859,0.2352941176470588,VALIDATED,0.0014642034751326,0.0020796401979953,0.0,0.0027607863,FACILITY_COUNT_2KM,-0.03598235,-0.00097275403,-0.070309274,-0.034342993,-0.06829316
200,7.416714153432693,108044.57634800264,0.988971251655362,0.0,VALIDATED_ESTIMATE,0.0712361666287086,0.5321573726853813,1.0,0.5424163,ACCESS_GAP,-0.034544695,-0.0005961558,0.10205278,0.14567286,0.117170095
86,5.952871224163059,16185.0,0.2565521973028551,0.0,VALIDATED,0.0038569893754496,0.0232976056161835,1.0,0.3120591,FACILITY_COUNT_2KM,-0.036420133,0.0002293532,0.09364815,-0.04989948,0.09184003
